t_ms,e1,e2,e3,e4,e5,e6,e7
3.0500000000000003,0.0017551770536580794,0.0051759217400241826,0.0019678094693054947,-0.0006834101806334952,-0.00303274986142329,-0.0006834101806334952,0.0019678094693054947
3.075,-0.0005546816915092341,0.0033707389766067727,0.0004334090734577895,-0.0025457844081258926,-0.005804270013481291,-0.002545784408125891,0.0004334090734577895
3.1,-0.003036734149428867,0.001384598104208978,-0.0012196807433807182,-0.004498744908644589,-0.008709441278427713,-0.004498744908644591,-0.0012196807433807147
3.125,-0.005682435697704334,-0.0007823265324510856,-0.00298478345588184,-0.006525834568595517,-0.011723419396619156,-0.006525834568595517,-0.00298478345588184
3.1500000000000004,-0.00847802968318454,-0.003127353333834715,-0.004852066018221291,-0.008605238546569848,-0.014812478065800307,-0.00860523854656985,-0.004852066018221291
3.1750000000000003,-0.011403198202618363,-0.005644332044984698,-0.006807710115409687,-0.01070876809995706,-0.017932342327664053,-0.010708768099957062,-0.006807710115409687
3.2,-0.01442960542409004,-0.008322566995187906,-0.00883303240807882,-0.012800845041497281,-0.021026504754886675,-0.012800845041497283,-0.008833032408078818
3.225,-0.01751934469828493,-0.011145614354527838,-0.010903557501578068,-0.014837516907422025,-0.024024587237769783,-0.014837516907422028,-0.010903557501578067
3.25,-0.020623316957332924,-0.014089949690918528,-0.012988056307818461,-0.016765549227614883,-0.026840842712297693,-0.016765549227614886,-0.012988056307818458
3.2750000000000004,-0.023679590023101386,-0.017123512463348912,-0.015047574554148006,-0.018521661498985195,-0.029372930081044916,-0.0185216614989852,-0.015047574554148003
3.3000000000000003,-0.02661181668425555,-0.020204148186464967,-0.01703449124609092,-0.020031996683208736,-0.03150114050703445,-0.02003199668320874,-0.017034491246090917
3.325,-0.02932782397024089,-0.023277987483097055,-0.018891664863133973,-0.021211939107275545,-0.033088301816239125,-0.021211939107275552,-0.01889166486313397
3.35,-0.03171852676253406,-0.026277824910032815,-0.020551745840638517,-0.021966420750498348,-0.03398063579748515,-0.021966420750498355,-0.020551745840638513
3.375,-0.03365736464010887,-0.02912159004362427,-0.021936757019993414,-0.022190878278265772,-0.0340098841187513,-0.022190878278265776,-0.02193675701999341
3.4000000000000004,-0.03500050904402443,-0.03171103923570017,-0.02295806817359973,-0.021773038733916703,-0.032997042605715156,-0.02177303873391671,-0.022958068173599723
3.4250000000000003,-0.035588133667021286,-0.03393083835258955,-0.02351691445656604,-0.02059571488909259,-0.030758037436154333,-0.020595714889092596,-0.02351691445656603
3.45,-0.035247076766956285,-0.035648253133594196,-0.023505628514748474,-0.018540774704886676,-0.02711162377517709,-0.018540774704886683,-0.023505628514748463
3.475,-0.033795238802218255,-0.036713711196462585,-0.022809767335755855,-0.01549440483170643,-0.021889668865726904,-0.015494404831706434,-0.022809767335755845
3.5,-0.031048037751210136,-0.03696254237651343,-0.02131131152552831,-0.011353707002037135,-0.014949779743756636,-0.011353707002037148,-0.0213113115255283
3.5250000000000004,-0.026827170053158458,-0.036218233137740564,-0.01889308883436341,-0.006034541421190532,-0.006189938351419687,-0.006034541421190539,-0.018893088834363393
3.5500000000000003,-0.020971778397921175,-0.03429753386108505,-0.01544451685530614,0.0005196402907262383,0.0044355856534657005,0.0005196402907262313,-0.015444516855306135
3.575,-0.01335189196045413,-0.03101771907515936,-0.010868663576869275,0.008328444165401698,0.016900239687899773,0.008328444165401684,-0.010868663576869272
3.6,-0.003883671382199028,-0.026206201834221,-0.005090482869077623,0.01736537779118682,0.031090792272618902,0.017365377791186812,-0.005090482869077619
3.625,0.007454433194095976,-0.019712526008225893,0.0019341058642339895,0.02754984042159293,0.04679663640504962,0.02754984042159293,0.0019341058642339964
3.6500000000000004,0.020605985628091208,-0.011422489872013062,0.010208850877195879,0.038741400719320654,0.06370512021520067,0.038741400719320654,0.010208850877195893
3.6750000000000003,0.03542318022548667,-0.0012737872530494737,0.019688315443961622,0.05073758619007967,0.08140512888941279,0.05073758619007967,0.019688315443961615
3.7,0.051657991332058784,0.010727896240194228,0.03027056749443634,0.0632763198974058,0.09940058007094127,0.0632763198974058,0.03027056749443634
3.725,0.06896020449249182,0.02449388152519301,0.0417925978045189,0.07604382778779704,0.11713441448457071,0.07604382778779704,0.0417925978045189
3.75,0.086884423598169,0.03984058567738849,0.054029680648866485,0.08868828342759677,0.1340221244046407,0.08868828342759677,0.05402968064886646
3.7750000000000004,0.1049074017131949,0.056482992750457504,0.06669972614044603,0.10083869005381439,0.14949208479674908,0.10083869005381439,0.06669972614044602
3.8000000000000003,0.12245577852155648,0.07403579617261863,0.07947327288203448,0.11212762498484195,0.16302830906476015,0.11212762498484198,0.07947327288203447
3.825,0.13894263819059954,0.09202407673614832,0.09198912994851893,0.1222156552282432,0.1742101963963944,0.12221565522824325,0.0919891299485189
3.85,0.15380950760832796,0.10990444274150217,0.1038748563934146,0.13081467600583682,0.18274376525978228,0.13081467600583682,0.10387485639341457
3.875,0.16656891415548394,0.12709613210722115,0.11477039171256541,0.13770730543169996,0.18847995328574008,0.13770730543169998,0.11477039171256541
3.9000000000000004,0.1768418708386714,0.14301983433773127,0.12435240555835705,0.14275988301030076,0.1914176532122453,0.14275988301030082,0.12435240555835703
3.9250000000000003,0.18438499501071592,0.15714026846776488,0.1323565193601971,0.14592752752111604,0.1916917694000737,0.1459275275211161,0.1323565193601971
3.95,0.18910346381008838,0.16900729364288095,0.13859462208701284,0.14725093103504283,0.18954906010196082,0.1472509310350429,0.13859462208701281
3.975,0.19104838345775274,0.17828995810455486,0.14296510701191284,0.14684582484108438,0.18531626448906127,0.14684582484108438,0.14296510701191278
4.0,0.19039982521178153,0.18479866005071197,0.14545490399726474,0.14488706413186214,0.17936564551799966,0.14488706413186217,0.1454549039972647
4.025,0.18743907567399867,0.18849244174464302,0.14613345040343229,0.14158983556574664,0.17208261087625,0.1415898355657467,0.14613345040343223
4.05,0.18251501504582776,0.1894709686473931,0.1451399433669913,0.13719052756550137,0.16383881142988604,0.13719052756550137,0.1451399433669913
4.075,0.17600974318345936,0.1879533283946255,0.1426660805216072,0.1319293919962925,0.15497251764439174,0.13192939199629253,0.14266608052160717
4.1000000000000005,0.16830775067703763,0.18424777135582066,0.13893686503926628,0.12603643943354687,0.14577657200647812,0.12603643943354687,0.13893686503926625
4.125,0.15977147233995284,0.1787174640459987,0.1341919101157125,0.11972124870193687,0.13649309564344997,0.1197212487019369,0.1341919101157125
4.15,0.15072443783124376,0.17174714070096117,0.12866914445648345,0.11316670136168042,0.12731349373936843,0.11316670136168042,0.12866914445648342
4.175,0.14144184037412258,0.163714451778389,0.12259208418316776,0.10652617179541417,0.11838211256987903,0.1065261717954142,0.12259208418316773
